segNum,segLength,cumLength,EInit,NInit,UpInit,psiInit,kStart,kEnd,grade,bank,maxE,maxV,frictionBase,updatedFriction,mapType,totalLength,totalSegs,creationTime,x,y,z,bufferLeft,bufferRight,width,distToLeftCurb,distToRightCurb
54,30,2077.000005,-130.476982,726.322821,0,3.16994,0.001247,0.006799,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
55,41,2107.000005,-160.374268,724.081627,0,3.290629,0.006799,0.006618,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
56,46,2148.000005,-199.571148,712.504914,0,3.565688,0.006618,0.007155,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
57,17,2194.000005,-237.876837,687.384803,0,3.882468,0.007155,-0.00062,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
58,48,2211.000005,-249.965135,675.435286,0,3.938015,-0.00062,0.001261,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
59,29,2259.000005,-283.52325,641.11647,0,3.953421,0.001261,-0.002167,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
60,41,2288.000005,-303.443918,620.041764,0,3.940298,-0.002167,0.00184,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
61,45,2329.000005,-332.542342,591.159035,0,3.933607,0.00184,-0.001516,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
62,90,2374.000005,-363.626527,558.621364,0,3.9409,-0.001516,0.004721,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
63,33,2464.000005,-424.654373,492.606035,0,4.085141,0.004721,0.015577,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
64,29.000001,2497.000005,-440.101479,463.622704,0,4.420059,0.015577,0.010675,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
65,34,2526.000006,-442.69628,434.915322,0,4.800711,0.010675,0.007105,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
66,30,2560.000006,-434.330686,402.094535,0,5.102966,0.007105,-0.002721,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
67,59,2590.000006,-421.339137,375.061501,0,5.168717,-0.002721,-0.004324,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
68,44,2649.000006,-400.576007,319.949508,0,4.960897,-0.004324,-0.000585,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
69,53,2693.000006,-392.667594,276.688655,0,4.852911,-0.000585,-0.001706,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
70,190,2746.000006,-386.580757,224.047669,0,4.792202,-0.001706,0.002308,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
71,38,2936.000006,-378.065683,34.341338,0,4.849414,0.002308,0.002052,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
72,19.999999,2974.000006,-371.292252,-3.039053,0,4.932257,0.002052,0.018354,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
