segNum,segLength,cumLength,EInit,NInit,UpInit,psiInit,kStart,kEnd,grade,bank,maxE,maxV,frictionBase,updatedFriction,mapType,totalLength,totalSegs,creationTime,x,y,z,bufferLeft,bufferRight,
69,31.477,1522.5,111.84,401.85,0,7.303185307,-0.0077736,-0.01004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,20.395,1542.9,131.68,426.15,0,7.022855307,-0.01004,-0.00034208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,46.776,1589.7,147.66,438.81,0,6.916985307,-0.00034208,-0.00011498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,33.168,1622.8,185.52,466.27,0,6.906295307,-0.00011498,0.016287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,29.927,1652.8,210.56,487.87,0,7.174485307,0.016287,0.012872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,27.824,1680.6,223.55,514.57,0,7.610785307,0.012872,0.014982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,29.873,1710.5,225.05,542.18,0,7.998285307,0.014982,0.015578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,21.718,1732.2,214.31,569.78,0,8.454785307,0.015578,0.00065979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,39.945,1772.1,200.07,586.14,0,8.631085307,0.00065979,0.0016142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,22.439,1794.6,171.51,614.06,0,8.676485307,0.0016142,-0.0022981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,22.526,1817.1,155.02,629.27,0,8.668885307,-0.0022981,0.0011947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,37.439,1854.5,138.82,644.93,0,8.656385307,0.0011947,-0.00113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,23.007,1877.5,111.7,670.74,0,8.657585307,-0.00113,0.0055564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,29.87,1907.4,94.938,686.49,0,8.708585307,0.0055564,0.0065125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,66.723,1974.1,70.809,704.03,0,8.888785307,0.0065125,0.007238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,27.89,2002,7.8359,724.25,0,9.347485307,0.007238,-0.000415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,95.642,2097.7,-20.041,724.58,0,9.442685307,-0.000415,0.00020831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,25.289,2123,-115.68,723.82,0,9.432785307,0.00020831,-0.00087716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,28.932,2151.9,-140.97,723.66,0,9.424385307,-0.00087716,0.0033077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,24.739,2176.6,-169.9,723.46,0,9.459485307,0.0033077,0.020732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,34.902,2211.5,-194.27,719.84,0,9.756885307,0.020732,0.0034255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,43.546,2255.1,-222.99,700.47,0,10.17838531,0.0034255,-0.0015415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,25.492,2280.6,-253.57,669.48,0,10.21948531,-0.0015415,0.0034231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
