segNum,segLength,cumLength,EInit,NInit,UpInit,psiInit,kStart,kEnd,grade,bank,maxE,maxV,frictionBase,updatedFriction,mapType,totalLength,totalSegs,creationTime,x,y,z,bufferLeft,bufferRight
37,5.299368,1533.702452,156.361277,441.636843,0.000000,0.547756,0.000000,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
38,48.743476,1539.001820,160.885323,444.396611,0.000000,0.547756,0.000000,0.012035,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
39,120.421048,1587.745296,199.674131,473.606954,0.000000,0.841074,0.012035,0.010663,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
40,31.540678,1708.166344,203.252428,584.813022,0.000000,2.207752,0.010663,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
41,47.949542,1739.707022,181.796574,607.876812,0.000000,2.375914,0.000000,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000000,1.000000
42,46.231778,1787.656565,147.229164,641.107111,0.000000,2.375914,0.000000,0.004005,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000000,1.000000
43,113.245568,1833.888343,112.940463,672.091530,0.000000,2.468500,0.004005,0.004404,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000000,1.000000
44,1.587616,1947.133911,11.389202,719.750748,0.000000,2.944638,0.004404,0.003691,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000000,1.000000
45,89.783762,1948.721527,9.831263,720.056267,0.000000,2.951064,0.003691,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000000,1.000000
46,5.464844,2038.505289,-79.556335,727.205792,0.000000,3.116774,0.000000,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
47,118.742613,2043.970132,-85.019496,727.341408,0.000000,3.116774,0.000000,0.007682,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
48,43.133061,2162.712745,-201.721308,712.447021,0.000000,3.572862,0.007682,0.004539,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
49,51.143283,2205.845806,-237.828048,689.080972,0.000000,3.836425,0.004539,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
50,121.088063,2256.989089,-274.442314,653.417348,0.000000,3.952494,0.000000,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
51,106.501473,2378.077153,-357.853275,565.639613,0.000000,3.952494,0.000000,0.000489,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
52,0.082842,2484.578626,-430.541634,487.804639,0.000000,3.978519,0.000489,0.021102,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
53,108.702153,2484.661468,-430.597098,487.743104,0.000000,3.979414,0.021102,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
54,15.928187,2593.363621,-426.915492,385.326129,0.000000,5.126319,0.000000,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
55,0.055424,2609.291808,-420.509007,370.743122,0.000000,5.126319,0.000000,-0.001671,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
56,60.302704,2609.347231,-420.486716,370.692379,0.000000,5.126273,-0.001671,-0.003400,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
57,56.121418,2669.649935,-400.048536,314.021714,0.000000,4.973381,-0.003400,-0.002931,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
58,24.278360,2725.771352,-390.567696,258.781783,0.000000,4.795735,-0.002931,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
59,186.107051,2750.049713,-389.184820,234.544893,0.000000,4.760156,0.000000,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000000,0.000000
60,109.033150,2936.156763,-380.298421,48.650121,0.000000,4.760156,0.000000,0.017982,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000000,0.000000
61,51.321966,3045.189913,-342.351782,-48.659727,0.000000,5.740476,0.017982,-0.000498,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000000,0.000000
62,0.085142,3096.511879,-292.937389,-60.703584,0.000000,6.189141,-0.000498,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000000,0.000000
63,16.045249,3096.597021,-292.853478,-60.720621,0.000000,6.189120,0.000000,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
64,24.667955,3112.642271,-276.879163,-62.227698,0.000000,6.189120,0.000000,0.003015,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
65,36.407742,3137.310226,-252.294941,-64.239965,0.000000,6.226307,0.003015,0.028928,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
66,46.169427,3173.717968,-216.848893,-58.708965,0.000000,6.807788,0.028928,0.013227,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
67,12.193504,3219.887395,-195.653132,-19.747968,0.000000,7.780915,0.013227,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
68,1.433125,3232.080899,-195.409146,-7.560220,0.000000,7.861556,0.000000,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
69,9.050192,3233.514023,-195.420001,-6.127136,0.000000,7.861556,0.000000,-0.010602,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
70,42.871349,3242.564215,-195.343837,2.921809,0.000000,7.813582,-0.010602,-0.010261,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
71,17.279469,3285.435564,-184.199606,43.950224,0.000000,7.366379,-0.010261,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
72,5.628566,3302.715033,-175.250432,58.725829,0.000000,7.277729,0.000000,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
73,6.309900,3308.343600,-172.183508,63.445441,0.000000,7.277729,0.000000,0.005778,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
74,58.087066,3314.653500,-168.777600,68.757074,0.000000,7.295960,0.005778,0.005410,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
75,98.249197,3372.740566,-146.589888,122.163275,0.000000,7.620923,0.005410,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
76,319.200000,3470.989763,-141.091730,219.952949,0.000000,7.886707,0.000000,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
77,62.736916,3790.189763,-151.535802,538.982041,0.000000,7.886707,0.000000,-0.023261,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
78,79.947189,3852.926678,-138.801440,598.908899,0.000000,7.157048,-0.023261,-0.013113,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
79,23.287002,3932.873867,-65.959181,604.510506,0.000000,5.703068,-0.013113,-0.003291,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
80,47.904546,3956.160869,-48.096670,589.626643,0.000000,5.512071,-0.003291,-0.010405,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
81,93.340630,4004.065414,-18.705136,552.075219,0.000000,5.184011,-0.010405,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
82,475.207150,4097.406045,-5.117475,460.712775,0.000000,4.698393,0.000000,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
