s,grade,grade_s,grade_ss,bank,bank_s,bank_ss
228.843134,0.037671661,-0.0003171,6.96E-07,-0.029288545,-7.63E-05,1.87E-06
232.657186,0.03654381,-0.000314024,7.02E-07,-0.029483725,-6.89E-05,1.87E-06
236.471238,0.035446175,-0.000310843,7.06E-07,-0.029818378,-6.19E-05,1.87E-06
240.28529,0.034301707,-0.000307628,7.07E-07,-0.030263963,-5.53E-05,1.87E-06
244.099343,0.03301972,-0.00030434,7.07E-07,-0.030672157,-4.91E-05,1.87E-06
247.913395,0.031520438,-0.000301018,7.05E-07,-0.03083766,-4.30E-05,1.87E-06
251.727447,0.030077697,-0.000297652,7.04E-07,-0.030776009,-3.68E-05,1.87E-06
255.541499,0.028817618,-0.000294259,7.02E-07,-0.030693056,-3.07E-05,1.87E-06
259.355552,0.027591986,-0.000290743,7.00E-07,-0.030675437,-2.46E-05,1.87E-06
263.169604,0.026676359,-0.000287246,6.99E-07,-0.030712526,-1.86E-05,1.87E-06
266.983656,0.025866325,-0.000283769,6.97E-07,-0.030763877,-1.26E-05,1.87E-06
270.797708,0.025091098,-0.000280247,6.95E-07,-0.030854597,-6.46E-06,1.88E-06
274.611761,0.024181039,-0.000276732,6.93E-07,-0.030971119,-3.34E-07,1.88E-06
278.425813,0.023084379,-0.000272918,6.91E-07,-0.031065365,5.79E-06,1.88E-06
282.239865,0.021675712,-0.000267803,6.90E-07,-0.031117297,1.19E-05,1.88E-06
286.053917,0.02027926,-0.000262717,6.88E-07,-0.03104545,1.81E-05,1.88E-06
289.867969,0.019230706,-0.00025764,6.86E-07,-0.030935795,2.42E-05,1.85E-06
293.682022,0.018583779,-0.000252564,6.84E-07,-0.03089059,3.04E-05,1.73E-06
297.496074,0.018099247,-0.000247508,6.82E-07,-0.030846043,3.25E-05,1.73E-06
301.310126,0.017593434,-0.000242468,6.80E-07,-0.030880378,1.92E-05,1.73E-06
305.124178,0.016807945,-0.000237468,6.83E-07,-0.030972925,6.16E-06,2.92E-07
308.938231,0.01563023,-0.000232423,6.98E-07,-0.030991892,-6.97E-06,-5.58E-06
312.752283,0.014225949,-0.000227334,1.49E-06,-0.030808347,-2.02E-05,-6.15E-06
316.566335,0.012808416,-0.000222131,4.72E-06,-0.030443896,-3.36E-05,-6.14E-06
320.380387,0.011562507,-0.000216913,4.73E-06,-0.030174443,-4.69E-05,-6.13E-06
324.19444,0.010646085,-0.000211728,4.73E-06,-0.030070654,-6.01E-05,-6.13E-06
